# 计算机科学与技术23-3班 班级档案 (绝密)

## 基本信息
- **班级编号**: CS2303
- **最喜爱的老师**:人工智能原理老师刘雪南
- **辅导员**: 诸葛亮 (电话: 136-xxxx-9999)
- **班级人数**: 50人 (男25人, 女25人)
- **班级口号**: 鞠躬尽瘁，死而后已
## 班委名单
- **班长**: 刘备 (20230301) - 仁义，爱哭
- **团支书**: 关羽 (20230302) - 讲义气，脸红
- **组织委员**: 张飞 (20230303) - 嗓门大，粗中有细
- **宣传委员**: 赵云 (20230304) - 帅气，全能

## 荣誉榜 (2024年度)
- **最佳辩手**: 诸葛亮 (辅导员兼职)
- **校园十大杰出青年**: 赵云
- **文明宿舍**: 7号楼-701 (刘备, 关羽, 张飞, 赵云)

## 学生详细名册

| 学号 | 姓名 | 性别 | 籍贯 | 宿舍号 | 备注 |
| 20230317 | 司马懿 | 男 | 河南温县 | 7号楼-708 | 鹰视狼顾，忍者神龟 |
| 20230318 | 司马师 | 男 | 河南温县 | 7号楼-708 | 沉稳果断 |
| 20230319 | 司马昭 | 男 | 河南温县 | 7号楼-709 | 路人皆知 |
| 20230320 | 邓艾 | 男 | 河南新野 | 7号楼-709 | 口吃，偷渡阴平 |
| 20230321 | 钟会 | 男 | 河南长葛 | 7号楼-710 | 书法家，野心家 |
| 20230322 | 袁绍 | 男 | 河南商水 | 7号楼-710 | 四世三公，优柔寡断 |
| 20230323 | 袁术 | 男 | 河南商水 | 7号楼-711 | 冢中枯骨，喜欢喝蜜水 |
| 20230324 | 吕布 | 男 | 内蒙古包头 | 7号楼-711 | 三姓家奴，武力第一 |
| 20230325 | 貂蝉 | 女 | 山西忻州 | 8号楼-801 | 闭月羞花，离间计 |
| 20230326 | 孙尚香 | 女 | 浙江富阳 | 8号楼-801 | 弓腰姬，喜欢舞刀弄枪 |
| 20230327 | 大乔 | 女 | 安徽潜山 | 8号楼-802 | 国色天香 |
| 20230328 | 小乔 | 女 | 安徽潜山 | 8号楼-802 | 倾国倾城 |
| 20230329 | 甄宓 | 女 | 河北无极 | 8号楼-803 | 洛神，才女 |
| 20230330 | 蔡文姬 | 女 | 河南杞县 | 8号楼-803 | 胡笳十八拍，音乐家 |
| 20230331 | 黄月英 | 女 | 湖北襄阳 | 8号楼-804 | 才华横溢，发明家 |
| 20230332 | 祝融夫人 | 女 | 云南 | 8号楼-804 | 刺美人，擅长飞刀 |
| 20230333 | 孟获 | 男 | 云南 | 7号楼-712 | 蛮王，七擒七纵 |
| 20230334 | 华佗 | 男 | 安徽亳州 | 7号楼-712 | 神医，五禽戏 |
| 20230335 | 左慈 | 男 | 安徽庐江 | 7号楼-713 | 魔术师，戏弄曹操 |
| 20230336 | 于吉 | 男 | 山东 | 7号楼-713 | 道士，蛊惑人心 |
| 20230337 | 祢衡 | 男 | 山东惠民 | 7号楼-714 | 喷子，击鼓骂曹 |
| 20230338 | 杨修 | 男 | 陕西华阴 | 7号楼-714 | 鸡肋，聪明反被聪明误 |
| 20230339 | 孔融 | 男 | 山东曲阜 | 7号楼-715 | 让梨，建安七子 |
| 20230340 | 陈琳 | 男 | 江苏广陵 | 7号楼-715 | 檄文大师，骂好曹操头风 |
| 20230341 | 董卓 | 男 | 甘肃临洮 | 7号楼-716 | 暴君，喜欢美女 |
| 20230342 | 李儒 | 男 | 陕西 | 7号楼-716 | 毒士，董卓智囊 |
| 20230343 | 贾诩 | 男 | 甘肃武威 | 7号楼-717 | 毒士，算无遗策 |
| 20230344 | 郭嘉 | 男 | 河南禹州 | 7号楼-717 | 鬼才，天妒英才 |
| 20230345 | 荀彧 | 男 | 河南禹州 | 7号楼-718 | 王佐之才，留香荀令 |
| 20230346 | 荀攸 | 男 | 河南禹州 | 7号楼-718 | 谋主，大智若愚 |
| 20230347 | 程昱 | 男 | 山东东阿 | 7号楼-719 | 刚戾，擅长断粮 |
| 20230348 | 刘晔 | 男 | 安徽合肥 | 7号楼-719 | 佐世之才，皇族后裔 |
| 20230349 | 满宠 | 男 | 山东昌邑 | 7号楼-720 | 酷吏，执法严明 |
| 20230350 | 许褚 | 男 | 安徽亳州 | 7号楼-720 | 虎痴，裸衣斗马超 |

## 近期班级大事件
1. **2024-09-20**: 桃园三结义（刘备、关羽、张飞在宿舍结拜）。
2. **2024-10-15**: 草船借箭（诸葛亮辅导员带领大家去湖边借箭...其实是捡垃圾志愿者活动）。
3. **2024-12-25**: 赤壁之战（班级火锅聚餐，场面火爆）。
