# 计算机科学与技术23-2班 班级档案 (绝密)

## 基本信息
- **班级编号**: CS2302
- **辅导员**: 李娜 (电话: 139-xxxx-5678)
- **班级人数**: 49人 (男35人, 女14人)
- **班级口号**: 只有想不到，没有做不到

## 班委名单
- **班长**: 宋江 (20230201) - 威望高，善于协调
- **团支书**: 吴用 (20230202) - 足智多谋，策划能力强
- **体育委员**: 林冲 (20230205) - 身体素质极佳
- **文艺委员**: 李师师 (20230210) - 多才多艺

## 荣誉榜 (2024年度)
- **省程序设计大赛一等奖**: 吴用, 公孙胜
- **校篮球赛冠军**: 23-2班篮球队 (队长: 林冲)
- **优秀团支部**: 23-2班团支部

## 学生详细名册

| 学号 | 姓名 | 性别 | 籍贯 | 宿舍号 | 备注 |
| 20230230 | 杨雄 | 男 | 河南蓟州 | 4号楼-415 | 病关索，脸色蜡黄 |
| 20230231 | 石秀 | 男 | 河南建康 | 4号楼-415 | 拼命三郎，爱打抱不平 |
| 20230232 | 解珍 | 男 | 山东登州 | 4号楼-416 | 两头蛇，喜欢爬山 |
| 20230233 | 解宝 | 男 | 山东登州 | 4号楼-416 | 双尾蝎，喜欢打猎 |
| 20230234 | 燕青 | 男 | 河北大名 | 4号楼-417 | 浪子，多才多艺，精通相扑 |
| 20230235 | 朱武 | 男 | 陕西定远 | 4号楼-417 | 神机军师，喜欢布阵 |
| 20230236 | 黄信 | 男 | 山东青州 | 4号楼-418 | 镇三山，喜欢吹牛 |
| 20230237 | 孙立 | 男 | 山东登州 | 4号楼-418 | 病尉迟，武艺高强 |
| 20230238 | 宣赞 | 男 | 北京 | 4号楼-419 | 丑郡马，长得丑 |
| 20230239 | 郝思文 | 男 | 北京 | 4号楼-419 | 井木犴，星象爱好者 |
| 20230240 | 韩滔 | 男 | 北京 | 4号楼-420 | 百胜将，常胜将军 |
| 20230241 | 扈三娘 | 女 | 山东独龙冈 | 6号楼-602 | 一丈青，武艺高强，美女 |
| 20230242 | 顾大嫂 | 女 | 山东登州 | 6号楼-602 | 母大虫，性格泼辣 |
| 20230243 | 孙二娘 | 女 | 山东孟州 | 6号楼-603 | 母夜叉，开黑店的 |
| 20230244 | 潘金莲 | 女 | 山东清河 | 6号楼-603 | 喜欢做烧饼 |
| 20230245 | 阎婆惜 | 女 | 山东郓城 | 6号楼-604 | 喜欢唱曲 |
| 20230246 | 潘巧云 | 女 | 河南蓟州 | 6号楼-604 | 喜欢拜佛 |
| 20230247 | 李瓶儿 | 女 | 山东清河 | 6号楼-605 | 富婆 |
| 20230248 | 庞春梅 | 女 | 山东清河 | 6号楼-605 | 性格倔强 |
| 20230249 | 白秀英 | 女 | 山东郓城 | 6号楼-606 | 喜欢唱戏 |

## 近期班级大事件
1. **2024-09-15**: 班级篮球赛夺冠，林冲同学绝杀。
2. **2024-10-20**: 组织观看电影《水浒传》，李逵同学看睡着了。
3. **2024-11-05**: 吴用同学策划了“校园寻宝”活动，全校轰动。
